Product Name,Original Price,Clearance Price,Percentage Off,Product Category,Product Code,Rating,Link
"Philips T12 Fluorescent Tube Light Bulb, Cool White, 18-in",8.99,3.93,56.0,electrical,052-5103-2,3.1,https://www.canadiantire.ca/en/pdp/philips-t12-fluorescent-tube-light-bulb-cool-white-18-in-0525103p.html#srp
"Rawlings Velo™ Baseball Helmet, Matte Red, Adult",89.99,44.93,50.0,team-sports-and-golf,080-1041-4,4.0,https://www.canadiantire.ca/en/pdp/rawlings-velo-baseball-helmet-matte-red-adult-0801041p.html#srp
"Waterproof Round Trampoline Weather Cover, 13-ft, with Strong Straps, Black",39.99,14.93,63.0,backyard-fun,084-6892-0,1.0,https://www.canadiantire.ca/en/pdp/waterproof-round-trampoline-weather-cover-13-ft-with-strong-straps-black-0846892p.html#srp
"STP Power Steering Fluid, 450-mL",8.99,2.93,67.0,auto-maintenance,038-0654-6,4.3,https://www.canadiantire.ca/en/pdp/stp-power-steering-fluid-450-ml-0380654p.html#srp
"Squirrel X No Spill X4 Squirrel Proof Bird Feeder with 4 Feeding Ports, 1.5-lb",49.99,34.93,30.0,pet-care,142-9184-0,2.6,https://www.canadiantire.ca/en/pdp/squirrel-x-no-spill-x4-squirrel-proof-bird-feeder-with-4-feeding-ports-1-5-lb-1429184p.html#srp
LED 4-Wire Flat,17.99,3.93,78.0,automotive-outdoor-adventure,040-8230-8,5.0,https://www.canadiantire.ca/en/pdp/led-4-wire-flat-0408230p.html#srp
"LEGO® VIDIYO™ Candy Mermaid BeatBox - 43102, 71 pcs, Age 4+",24.99,14.93,40.0,toys,050-9252-6,4.3,https://www.canadiantire.ca/en/pdp/lego-vidiyo-candy-mermaid-beatbox-43102-71-pcs-age-4-0509252p.html#srp
"AVS Hoodflector, Chrome",,99.99,,light-auto-parts,034-1100X,0.0,https://www.canadiantire.ca/en/pdp/avs-hoodflector-chrome-0341100p.html#srp
"Perky Pet Straight-Sided Sunflower Tube Wild Bird Feeder, 1.8-lb",26.99,14.93,45.0,pet-care,142-9166-4,3.5,https://www.canadiantire.ca/en/pdp/perky-pet-straight-sided-sunflower-tube-wild-bird-feeder-1-8-lb-1429166p.html#srp
"Bow Copper Tee, Assorted Sizes",,3.79,,plumbing,063-1272-6,4.6,https://www.canadiantire.ca/en/pdp/bow-copper-tee-assorted-sizes-0631218p.html#srp
Reese Brake Control Converter and 7-Way Adapter,104.99,14.93,86.0,automotive-outdoor-adventure,040-9855-6,0.0,https://www.canadiantire.ca/en/pdp/reese-brake-control-converter-and-7-way-adapter-0409855p.html#srp
"Umbra Loft Suds Melamine Soap Dish, Charcoal",9.99,5.93,41.0,home-decor,063-2463-6,5.0,https://www.canadiantire.ca/en/pdp/umbra-loft-suds-melamine-soap-dish-charcoal-0632463p.html#srp
"Huntshield Drayton Hunting Backpack, Camouflage, 32-L",109.99,59.93,46.0,hunting,175-8993-2,4.0,https://www.canadiantire.ca/en/pdp/huntshield-drayton-hunting-backpack-camouflage-32-l-1758993p.html#srp
"Perky Pet Metal Hanging Hook For Bird Feeders, 23-in",4.99,2.43,51.0,pet-care,042-5966-2,5.0,https://www.canadiantire.ca/en/pdp/perky-pet-metal-hanging-hook-for-bird-feeders-23-in-0425966p.html#srp
Life Gear Aluminum Search Light,,14.93,,hardware,399-9215-8,4.8,https://www.canadiantire.ca/en/pdp/life-gear-aluminum-search-light-3999215p.html#srp
"Berkley® Bad Shad 5 Fishing Lure, 2-in",11.99,5.93,51.0,fishing,077-7299X,4.8,https://www.canadiantire.ca/en/pdp/berkley-bad-shad-5-fishing-lure-2-in-0777299p.html#srp
"Globe Electric BR30 E26 Base Globe Dimmable LED Light Bulbs, Tunable White, 65W, 2-pk",15.99,7.93,50.0,electrical,052-9485-8,4.0,https://www.canadiantire.ca/en/pdp/globe-electric-br30-e26-base-globe-dimmable-led-light-bulbs-tunable-white-65w-2-pk-0529485p.html#srp
"Umbra Loft Suds Melamine Toothbrush Holder, Charcoal",9.99,5.93,41.0,home-decor,063-2462-8,4.5,https://www.canadiantire.ca/en/pdp/umbra-loft-suds-melamine-toothbrush-holder-charcoal-0632462p.html#srp
"RealTree Naturals Chicken Links Dog Treats, 454-g",12.99,8.93,31.0,pet-care,142-5647-4,4.0,https://www.canadiantire.ca/en/pdp/realtree-naturals-chicken-links-dog-treats-454-g-1425647p.html#srp
Type S Esscents AeroStone Air Freshener,6.99,1.93,72.0,car-care-accessories,037-7428X,3.9,https://www.canadiantire.ca/en/pdp/type-s-esscents-aerostone-air-freshener-0377428p.html#srp
"Driven Mini Diffuser, Blackout, 2-pk",4.49,2.93,35.0,car-care-accessories,037-2662-6,2.8,https://www.canadiantire.ca/en/pdp/driven-mini-diffuser-blackout-2-pk-0372662p.html#srp
Life Gear 300 Lumen Path Light,,12.93,,hardware,399-9213-2,4.8,https://www.canadiantire.ca/en/pdp/life-gear-300-lumen-path-light-3999213p.html#srp
"No Leak Engine Oil Stop Leak, 473-mL",11.99,6.93,42.0,auto-maintenance,038-0221-6,3.3,https://www.canadiantire.ca/en/pdp/no-leak-engine-oil-stop-leak-473-ml-0380221p.html#srp
Life Gear Safety Head Lamp,,9.99,,hardware,399-9216-6,4.8,https://www.canadiantire.ca/en/pdp/life-gear-safety-head-lamp-3999216p.html#srp
"PlumbShop Universal Brass Adjustable Toilet Tank Lever, Bone White",11.99,7.43,38.0,plumbing,063-0534-0,4.5,https://www.canadiantire.ca/en/pdp/plumbshop-universal-brass-adjustable-toilet-tank-lever-bone-white-0630534p.html#srp
"SIMONIZ 2-in-1 Car Glass & Dash Cleaner Spray, 750-mL",8.49,4.93,42.0,car-care-accessories,039-6030-2,2.5,https://www.canadiantire.ca/en/pdp/simoniz-2-in-1-car-glass-dash-cleaner-spray-750-ml-0396030p.html#srp
"Mastercraft Cutting Wheel/Disc, 1/16 x 3-in, 5-pc",14.99,6.43,57.0,tools,058-8141-0,3.8,https://www.canadiantire.ca/en/pdp/mastercraft-cutting-wheel-disc-1-16-x-3-in-5-pc-0588141p.html#srp
Moultrie Feed Station Gravity Deer Feeder,37.99,24.93,34.0,hunting,175-8837-6,3.3,https://www.canadiantire.ca/en/pdp/moultrie-feed-station-gravity-deer-feeder-1758837p.html#srp
Dorman Air Hose,,8.49,,heavy-auto-parts,014-2360X,0.0,https://www.canadiantire.ca/en/pdp/dorman-air-hose-0231900p.html#srp
"Master Lock 8157DPS Quantum 15 Armored Cable Lock, 6-ft",59.99,29.93,50.0,automotive-outdoor-adventure,027-0057-4,4.8,https://www.canadiantire.ca/en/pdp/master-lock-8157dps-quantum-15-armored-cable-lock-6-ft-0270057p.html#srp
Bully AS-200 Side Step,99.99,19.93,80.0,light-auto-parts,034-7394-0,5.0,https://www.canadiantire.ca/en/pdp/bully-as-200-side-step-0347394p.html#srp
Reflex Ice Scraper with Built-In Wiper Notch,7.99,1.43,82.0,car-care-accessories,030-4483-4,4.5,https://www.canadiantire.ca/en/pdp/reflex-ice-scraper-with-built-in-wiper-notch-0304483p.html#srp
"Cuisinart® Digital Tilt-Head Stand Mixer & Meat Grinder w/ 12 Speeds, Red, 5.5qt",,279.99,,kitchen,399-8177-4,4.6,https://www.canadiantire.ca/en/pdp/cuisinart-digital-tilt-head-stand-mixer-meat-grinder-w-12-speeds-red-5-5qt-3998177p.html#srp
"Mastercraft Easy Install Track Panel Storage Bin, Small, 1 x 5.5 x 5.5-in, Up to 15-kgs",6.49,1.43,78.0,tools,046-8665-2,5.0,https://www.canadiantire.ca/en/pdp/mastercraft-easy-install-track-panel-storage-bin-small-1-x-5-5-x-5-5-in-up-to-15-kgs-0468665p.html#srp
"HOME COLLECTIONS Wall Shelf Bracket, White, 16-in x 48-in",27.99,9.93,65.0,home-organization,068-7081-4,4.3,https://www.canadiantire.ca/en/pdp/home-collections-wall-shelf-bracket-white-16-in-x-48-in-0687081p.html#srp
"No Leak Power Steering Stop Leak, 473-mL",11.99,3.93,67.0,auto-maintenance,038-0638-6,3.5,https://www.canadiantire.ca/en/pdp/no-leak-power-steering-stop-leak-473-ml-0380638p.html#srp
