Product Name,Original Price,Sale Price,Percentage Off,Product Category,Product Code,Rating,Link
"MAXIMUM High Tension Hacksaw, 12-in",29.99,19.49,35.0,tools,058-5512-6,4.5,https://www.canadiantire.ca/en/pdp/maximum-high-tension-hacksaw-12-in-0585512p.html#srp
"VTech DECT 6.0 Cordless Phone System with Caller ID, 1 Handset, Silver/Black",49.99,34.99,30.0,electronics,069-7892-2,3.8,https://www.canadiantire.ca/en/pdp/vtech-dect-6-0-cordless-phone-system-with-caller-id-1-handset-silver-black-0697892p.html#srp
"Disney Frozen 6V Electric Mini Ride-On Quad Bike/ ATV, 2.4km/h, Kids, Assorted Colours",149.99,119.99,20.0,cycling,184-0080-0,3.0,https://www.canadiantire.ca/en/pdp/disney-frozen-6v-electric-mini-ride-on-quad-bike-atv-2-4km-h-kids-assorted-colours-1840080p.html#srp
Everlast RCVR 6.0 Percussion Massage Tool,239.99,139.99,42.0,exercise,184-1209-2,3.0,https://www.canadiantire.ca/en/pdp/everlast-rcvr-6-0-percussion-massage-tool-1841209p.html#srp
"MAXIMUM 7-in-1 Nut Driver, SAE, Comfort Grip, Corrosion Resistant, Electronic Coating",29.99,14.99,50.0,tools,058-1619-8,4.8,https://www.canadiantire.ca/en/pdp/maximum-7-in-1-nut-driver-sae-comfort-grip-corrosion-resistant-electronic-coating-0581619p.html#srp
"BK USB to Lightning Charger & Sync Cable, 10-ft",12.99,9.99,23.0,car-care-accessories,035-7350-2,2.9,https://www.canadiantire.ca/en/pdp/bk-usb-to-lightning-charger-sync-cable-10-ft-0357350p.html#srp
"Mastercraft Portable Stackable Small Parts 6-Bins Organizer Tray w/ Lid, 17x13x5-in",39.99,32.99,18.0,tools,058-0359-2,4.6,https://www.canadiantire.ca/en/pdp/mastercraft-portable-stackable-small-parts-6-bins-organizer-tray-w-lid-17x13x5-in-0580359p.html#srp
"Mastercraft Portable Stackable Small Parts 20-Bins Organizer Tray w/ Lid, 17x13x3-in",34.99,29.99,14.0,tools,058-0358-4,3.5,https://www.canadiantire.ca/en/pdp/mastercraft-portable-stackable-small-parts-20-bins-organizer-tray-w-lid-17x13x3-in-0580358p.html#srp
"Titan Plastic Food Wrap, 82-ft",1.5,,,home-essentials,399-6598-4,3.3,https://www.canadiantire.ca/en/pdp/titan-plastic-food-wrap-82-ft-3996598p.html#srp
Husky Liners Under Seat Storage Organization Box,239.95,215.96,10.0,car-care-accessories,331-0001X,0.0,https://www.canadiantire.ca/en/pdp/husky-liners-under-seat-storage-organization-box-3310001p.html#srp
"IAMS Proactive Health™ Large Breed PuPPy Dry Dog Food, 13.9-kg",53.99,48.59,10.0,pet-care,042-5306-4,4.5,https://www.canadiantire.ca/en/pdp/iams-proactive-health-large-breed-puppy-dry-dog-food-13-9-kg-0425306p.html#srp
"Coleman® Rattan Rectangular Steel Frame Swimming Pool with Ladder, 16-ft x 8-ft x 48-in",1249.99,1149.99,8.0,backyard-fun,081-3576-8,3.8,https://www.canadiantire.ca/en/pdp/coleman-rattan-rectangular-steel-frame-swimming-pool-with-ladder-16-ft-x-8-ft-x-48-in-0813576p.html#srp
Cooper Discoverer AT3 LT All Terrain Tire For Truck & SUV,289.99,216.33,25.0,tires,006-2803X,4.3,https://www.canadiantire.ca/en/pdp/cooper-discoverer-at3-lt-all-terrain-tire-for-truck-suv-4084042p.html#srp
"Mastercraft 15 Amp Portable Table Saw With Stand, 10-in",449.99,349.99,22.0,tools,055-6742-8,3.2,https://www.canadiantire.ca/en/pdp/mastercraft-15-amp-portable-table-saw-with-stand-10-in-0556742p.html#srp
"PowerBilt V3 Mens Golf Club Set, Right-Hand, Black/Blue",429.99,299.99,30.0,team-sports-and-golf,086-0298-8,2.1,https://www.canadiantire.ca/en/pdp/powerbilt-v3-men-s-golf-club-set-right-hand-black-blue-0860298p.html#srp
"PowerBilt V3 Mens Golf Club Set, Left-Hand, Black/Blue",429.99,299.99,30.0,team-sports-and-golf,086-0299-6,1.9,https://www.canadiantire.ca/en/pdp/powerbilt-v3-men-s-golf-club-set-left-hand-black-blue-0860299p.html#srp
"Mobil 1™ Advanced Fuel Economy 0W16 Synthetic Engine/Motor Oil, 4.73-L",65.99,35.99,45.0,auto-maintenance,028-9447-0,4.7,https://www.canadiantire.ca/en/pdp/mobil-1-advanced-fuel-economy-0w16-synthetic-engine-motor-oil-4-73-l-0289447p.html#srp
Armor All Smartphone Phone Mount with Extendable Arm,7.99,,,car-care-accessories,399-5619-2,3.2,https://www.canadiantire.ca/en/pdp/armor-all-smartphone-phone-mount-with-extendable-arm-3995619p.html#srp
"BK Micro USB Charger & Sync Cable, 10-ft",12.99,9.99,23.0,car-care-accessories,035-7349-8,3.6,https://www.canadiantire.ca/en/pdp/bk-micro-usb-charger-sync-cable-10-ft-0357349p.html#srp
"IAMS Proactive Health Adult Dry Cat Food, 7.2-kg",39.99,35.99,10.0,pet-care,042-6004-6,4.7,https://www.canadiantire.ca/en/pdp/iams-proactive-health-adult-dry-cat-food-7-2-kg-0426004p.html#srp
"IAMS Proactive Health Indoor Weight & Hairball Control Dry Cat Food, 7.2-kg",39.99,35.99,10.0,pet-care,142-1927-2,4.6,https://www.canadiantire.ca/en/pdp/iams-proactive-health-indoor-weight-hairball-control-dry-cat-food-7-2-kg-1421927p.html#srp
