Product Name,Original Price,Clearance Price,Percentage Off,Product Category,Product Code,Rating,Link,Sale Price
"Moto Master Dexron III/Mercon Automatic Transmission Fluid/ATF, Assorted Sizes",11.99,,10.0,auto-maintenance,028-1502X,4.6,https://www.canadiantire.ca/en/pdp/moto-master-dexron-iii-mercon-automatic-transmission-fluid-atf-assorted-sizes-0281502p.html#srp,10.79
"T-fal Hard Titanium Cookware Set, Non-stick, Dishwasher & Oven Safe, Black, 10-pc",499.99,,80.0,kitchen,142-8812-2,4.3,https://www.canadiantire.ca/en/pdp/t-fal-hard-titanium-cookware-set-non-stick-dishwasher-oven-safe-black-10-pc-1428812p.html#srp,99.99
"CANVAS Burnaby Gas-Lift Bar Stool, Black",139.99,,29.0,home-decor,168-0113-4,4.2,https://www.canadiantire.ca/en/pdp/canvas-burnaby-gas-lift-bar-stool-black-1680113p.html#srp,99.99
"Starfrit Balance Electronic Glass Bathroom Scale/Weight Scale, Silver",37.99,,42.0,home-decor,063-8725-8,3.7,https://www.canadiantire.ca/en/pdp/starfrit-balance-electronic-glass-bathroom-scale-weight-scale-silver-0638725p.html#srp,21.99
"type A Prima Light-Duty 4-Tier Connecting Shelving Storage Unit, Holds up to 220-lb",49.99,,30.0,home-organization,068-8222-4,4.5,https://www.canadiantire.ca/en/pdp/type-a-prima-light-duty-4-tier-connecting-shelving-storage-unit-holds-up-to-220-lb-0688222p.html#srp,34.99
Bowflex M3 MAX Elliptical Machine/Trainer Stepper,1399.99,,29.0,exercise,084-9999-0,4.5,https://www.canadiantire.ca/en/pdp/bowflex-m3-max-elliptical-machine-trainer-stepper-0849999p.html#srp,999.99
"PowerBilt Junior Tour Golf Club Set, Lightweight, For Ages 9-12, Right-Hand, Red",189.99,,19.0,team-sports-and-golf,086-2026-4,4.2,https://www.canadiantire.ca/en/pdp/powerbilt-junior-tour-golf-club-set-lightweight-for-ages-9-12-right-hand-red-0862026p.html#srp,152.99
"SIMONIZ Platinum Car WashMulti-Purpose Auto Detailing Brushes, Grey/Black, 3-pc",9.99,,15.0,car-care-accessories,039-3645-8,4.4,https://www.canadiantire.ca/en/pdp/simoniz-platinum-car-washmulti-purpose-auto-detailing-brushes-grey-black-3-pc-0393645p.html#srp,8.49
Spalding Slam Jam Indoor Over-The-Door Mounting Mini Basketball Hoop & Net w/ Ball,69.99,,29.0,team-sports-and-golf,084-2422-4,4.7,https://www.canadiantire.ca/en/pdp/spalding-slam-jam-indoor-over-the-door-mounting-mini-basketball-hoop-net-w-ball-0842422p.html#srp,49.99
Mastercraft 15D Lightweight Pneumatic Coil Roofing Nailer 1-3/4-in,334.99,,55.0,tools,058-9816-0,4.2,https://www.canadiantire.ca/en/pdp/mastercraft-15d-lightweight-pneumatic-coil-roofing-nailer-1-3-4-in-0589816p.html#srp,149.99
"Supercycle Wire Front Bike Basket w/Removable Handle, Weather-Resistant, Black",37.99,,15.0,cycling,073-0931-0,3.4,https://www.canadiantire.ca/en/pdp/supercycle-wire-front-bike-basket-w-removable-handle-weather-resistant-black-0730931p.html#srp,32.19
"ATV/UTV 12V Winch, 4000-lb",284.99,,35.0,automotive-outdoor-adventure,040-5953-6,3.8,https://www.canadiantire.ca/en/pdp/atv-utv-12v-winch-4000-lb-0405953p.html#srp,184.99
